start	end	text
1280080	1281280	Você sai da faculdade,
1281280	1283280	você cai no mercado de cavalo,
1283280	1284480	a realidade é outra.
1284480	1288480	Então, é tanto que começou duas turmas de 50,
1288480	1290080	e se formou 20 alunos.
1290080	1292480	Desses 20, três liminas.
1292480	1295280	E desses 20, nenhuma programador.
1295280	1296080	E isso que era...
1296080	1296880	É só eu, né?
1296880	1298880	E isso que era a faculdade de desenvolvimento
1298880	1300480	de sistemas de informação.
1300480	1302080	A minha também foi parecida,
1302080	1303680	mas a minha foi senso da computação.
1303680	1305680	E eram, tipo, 80 pessoas.
1305680	1307680	Na turma formou uns três.
1307680	1310280	Pois é, assim, é que as pessoas entram
1310280	1311680	naquela ilusão.
1311680	1312880	Nossa, adora o computador.
1312880	1314280	Adora o Orkut.
1314280	1315280	Adora MSN.
1315280	1317280	E vou fazer esses sistemas de informação.
1317280	1318280	Para que eles entram lá,
1318280	1320680	que eles começam a ver algoritmos,
1320680	1321880	o algoritmo de ação.
1321880	1323280	E ainda há dois meses,
1323280	1324880	que eles dizem que tem amarria, né?
1324880	1326080	E quem gosta um pouco mais,
1326080	1327480	vai até o final.
1330480	1331880	A gente pode ver o último top aí.
1331880	1333480	Mania, você pegou um problema para tudo?
1333480	1334480	Vai, como eu tenho?
1334480	1335880	Eu, pelo menos, tenho essa mania.
1335880	1337680	Eu preciso de uma calculadora.
1337680	1339480	A calculadora do Windows
1339480	1341280	não faz uma coisa que eu preciso.
1341280	1342880	Eu desenvolvo uma calculadora inteira.
1342880	1344480	Eu sou de fase, assim, sabe?
1344480	1346480	Tem época que eu estou me fazendo assim.
1346480	1347680	Preciso fazer recivo.
1347680	1349080	De vez em vez de eu fazer Orkut,
1349080	1351480	eu faço um só para ver recivo, assim.
1351480	1353680	E eu odeio usar softwares terceiros,
1353680	1355280	coisas que eu posso fazer, assim.
1355280	1357280	Coisa que eu não tenho capacidade,
1357280	1358080	que eu não vou...
1358080	1358880	Nem tempo.
1358880	1359880	Não é da minha área, tá?
1359880	1361680	Mas se for uma coisa que eu vejo,
1361680	1363080	que vai dar certo,
1363680	1365280	não vai te evitar nada.
1376680	1378280	Isso é uma parceria do
1378280	1380880	Mulheres na Tecnologia e da Tribu de C.I.
1380880	1381680	Ou não.
1381680	1383080	Galera que quiser entrar em contato
1383080	1384480	com a programadora BR,
1384480	1386480	é só mandar o email para contato,
1386480	1388480	rola programadorbr.com
1388480	1389880	ou através do meu Twitter,
1389880	1391680	arroba programador BR.
1391680	1393480	Eu queria agradecer a Cleviane
1393480	1394680	pela dica de pauta.
1394680	1397680	Eu queria agradecer a programadora BR.
1397680	1401080	E eu que agradeço, é uma honra ter participado
1401080	1404080	e espero que todo mundo que goste.
1404080	1405480	Eu queria agradecer a participação
1405480	1407480	do programador e ter pedido, né,
1407480	1409480	um pouquinho do seu preço aos tempos para a gente.
1409480	1410880	Eu poderia estar programando,
1410880	1411680	divulgando...
1411680	1413080	Teria estar programando, divulgando,
1413080	1414280	mas estar aqui...
1414280	1415680	Gravando podcast.
1415680	1417080	Gravando podcast.
1417080	1418680	Gravando a gente. Gravando a vocês.
1422680	1425680	Ficamos aos créditos de mais um episódio
1425680	1427680	da Tribu do C.I. Podcast.
1427680	1429680	E como tem sido de praxe,
1429680	1433680	vamos finalizar com os recadinhos e abraços.
1433680	1435680	Começando pelo
1435680	1438680	Fora Ongoiano de Software Livre.
1438680	1440680	Dia 18 e 19 de novembro,
1440680	1443680	oitava edição do Fora Ongoiano de Software Livre.
1443680	1445680	Socialmente justo, economicamente viável,
1445680	1447680	tecnologicamente sustentável.
1447680	1449680	Para mais informações,
1449680	1456680	visite fgesl.asljo.org.br.
1456680	1458680	Eu queria também falar
1458680	1463680	sobre o circuito goiano de Software Livre.
1463680	1466680	Eu participei da quarta e da quinta etapa
1466680	1468680	que aconteceram em Itaberaí
1468680	1470680	e Santa Helena, respectivamente.
1470680	1472680	Como você sabe mais,
1472680	1476680	softwarelivre.goiais.gov.br.
1476680	1478680	Eu queria também mandar um abraço
1478680	1480680	para o pessoal do Twitter
1480680	1483680	que mencionou o Arroba Tribu do C.I.
1483680	1487680	Vamos começar pelo Arroba W Porfírio,
1487680	1489680	que é o Wesley Porfírio.
1489680	1491680	Ele disse que escutou o episódio 12
1491680	1493680	que falou exatamente sobre o dia a dia
1493680	1495680	na área comercial MPI,
1495680	1497680	que é o que acontece no dia a dia dele
1497680	1499680	na software host.
1499680	1502680	E o outro foi da programadora BR
1502680	1504680	que acabou de participar com a gente.
1504680	1505680	Aqui do episódio,
1505680	1507680	recomendando o episódio número 12 também.
1507680	1510680	A Marcia Santos do Barra Emene Tec
1510680	1512680	que deu uma força para a gente lá também.
1512680	1515680	O Arroba Ivan Pedê,
1515680	1517680	o Neveu Luu, não sei como pronunciar.
1517680	1520680	Tweetou lá que estava ouvindo o episódio.
1520680	1522680	Também ao podcasteiro.
1522680	1524680	Arroba podcasteiro,
1524680	1526680	que recomendou o podcast.
1526680	1528680	Ele estava falando que
1528680	1530680	queima das link de podcasts lá.
1530680	1533680	Ele estaria retweetando e recomendando.
1533680	1535680	E também a Loiane,
1535680	1537680	Loiane Groner, que foi a entrevistada
1537680	1539680	do episódio 11.
1539680	1541680	E também eu queria mandar um abraço
1541680	1543680	para o Vinicius Menezes,
1543680	1545680	que fez vários comentários comigo
1545680	1547680	a respeito do episódio passado.
1547680	1549680	Também eu queria mandar um abraço
1549680	1551680	aos podcasteiro, AspiraCache,
1551680	1553680	podcasteiro do Boris Deprela
1553680	1555680	do site Aspirante Profissional.
1555680	1557680	O MachinaCache
1557680	1559680	e o Descontrole Podcast
1559680	1561680	que é do Jo, do Almof
1561680	1562680	e da Lily.
1562680	1564680	E eu sempre confundo o Jo com Almof.
1564680	1566680	Eu nunca sei quem é quem.
1566680	1568680	Valeu, um abraço.
1568680	1570680	Seguindo aqui, mande seus feedbacks
1570680	1572680	mencionando no Twitter
1572680	1574680	o Arroba Tribu do CI
1574680	1576680	ou curta nossa página no Facebook.
1576680	1578680	Facebook.com.br
1578680	1580680	Tribuador CI
1580680	1582680	ou mande-nos um e-mail
1582680	1584680	para o podcast
1584680	1586680	arrobatribuducei.match
1586680	1588680	ou mande seu recadinho de voz
1588680	1590680	ou e-mail também para a Tribu de CI
1590680	1592680	arrobagmail.com
1592680	1594680	para o episódio.
1594680	1596680	Gravão
1596680	1598680	só cabeça.
1598680	1600680	Por que não está chão?
1600680	1602680	Oi, são?
1602680	1604680	Todo mundo ouvindo?
1604680	1606680	São ouvindo também?
1606680	1608680	Tá legal.
1608680	1610680	Ah, pois
1610680	1612680	já escolheram para a Univindade?
1616680	1618680	Fricado.
1618680	1620680	Será que deu para perceber?
1620680	1622680	Não, grivado.
1622680	1624680	Ah, entendi, privada.
1626680	1628680	Não, entendi, privada.
1636680	1638680	Eu queria fazer uma pausa para me lavar
1638680	1640680	a bunda do meu menino, pode ser?
1640680	1642680	Poupe nos detalhes, por favor.
1642680	1644680	Vou fazer a higiene de ação
1644680	1646680	do meu filhinho.
1646680	1648680	Eu vou lá daqui um pouquinho.
1648680	1650680	Tá lá minha bunda?
1660680	1662680	Eu estou brincando, papai.
1662680	1664680	Papai, eu estou brincando.
1664680	1666680	Alô?
1670680	1672680	Alô?
1674680	1676680	Alô?
1676680	1678680	Já acabou, está tão bom.
